Game Code,Play Number,Period Number,Clock,Offense Team Code,Defense Team Code,Offense Points,Defense Points,Down,Distance,Spot,Play Type,Drive Number,Drive Play
0509068820120901,166,4,900,509,688,35,27,1,10,67,PASS,23,1
0509068820120901,167,4,,509,688,35,27,2,3,60,RUSH,23,1
0509068820120901,168,4,,509,688,35,27,3,4,61,PASS,23,1
0509068820120901,169,4,,509,688,35,27,1,10,52,RUSH,23,1
0509068820120901,170,4,,509,688,35,27,2,4,46,PENALTY,23,0
0509068820120901,171,4,,509,688,35,27,2,4,46,PENALTY,23,1
0509068820120901,172,4,,509,688,35,27,1,10,41,RUSH,23,1
0509068820120901,173,4,,509,688,35,27,2,11,42,PENALTY,23,0
0509068820120901,174,4,,509,688,35,27,2,6,37,RUSH,23,1
0509068820120901,175,4,,509,688,35,27,3,10,41,PASS,23,1
0509068820120901,176,4,,509,688,35,27,4,10,41,PUNT,,
0509068820120901,192,4,402,509,688,35,33,1,10,75,RUSH,25,1
0509068820120901,193,4,,509,688,35,33,2,6,71,RUSH,25,1
0509068820120901,194,4,,509,688,35,33,3,3,68,PASS,25,1
0509068820120901,195,4,,509,688,35,33,4,3,68,PUNT,,
0509068820120901,206,4,160,509,688,35,41,1,10,75,PENALTY,27,0
0509068820120901,207,4,,509,688,35,41,1,5,70,RUSH,27,1
0509068820120901,208,4,,509,688,35,41,2,6,71,PASS,27,1
0509068820120901,209,4,,509,688,35,41,1,10,62,PASS,27,1
0509068820120901,210,4,,509,688,35,41,2,7,59,PASS,27,1
0509068820120901,211,4,,509,688,35,41,1,10,34,PASS,27,1
0509068820120901,212,4,,509,688,35,41,2,10,34,PASS,27,1
0509068820120901,213,4,,509,688,35,41,1,10,22,PASS,27,1
0509068820120901,214,4,,509,688,35,41,2,6,18,RUSH,27,1
0509068820120901,215,4,58,509,688,35,41,3,15,27,TIMEOUT,,
0509068820120901,216,4,58,509,688,35,41,3,15,27,RUSH,27,1
0509068820120901,217,4,,509,688,35,41,1,9,9,PASS,27,1
0509068820120901,218,4,44,509,688,41,41,,,3,ATTEMPT,,
0509068820120901,219,4,44,509,688,42,41,,,65,KICKOFF,,
0736050920120908,131,4,900,509,736,6,10,4,1,71,PUNT,,
0736050920120908,136,4,835,509,736,6,10,1,10,86,PASS,19,1
0736050920120908,137,4,,509,736,6,10,1,10,57,PASS,19,1
0736050920120908,138,4,,509,736,6,10,2,3,50,PASS,19,1
0736050920120908,139,4,,509,736,6,10,1,10,44,PENALTY,19,0
0736050920120908,140,4,,509,736,6,10,1,5,39,RUSH,19,1
0736050920120908,141,4,,509,736,6,10,2,6,40,RUSH,19,1
0736050920120908,142,4,,509,736,6,10,3,3,37,RUSH,19,1
0736050920120908,143,4,,509,736,6,10,1,10,34,PASS,19,1
0736050920120908,144,4,,509,736,6,10,2,1,25,PASS,19,1
0736050920120908,145,4,,509,736,6,10,3,1,25,RUSH,19,1
0736050920120908,146,4,,509,736,6,10,1,10,15,PASS,19,1
0736050920120908,147,4,,509,736,6,10,2,2,7,RUSH,19,1
0736050920120908,148,4,568,509,736,12,10,,,3,ATTEMPT,,
0736050920120908,149,4,568,509,736,13,10,,,65,KICKOFF,,
0736050920120908,160,4,321,509,736,13,13,1,10,75,PASS,21,1
0736050920120908,161,4,,509,736,13,13,2,3,68,PASS,21,1
0736050920120908,162,4,,509,736,13,13,1,10,63,RUSH,21,1
0736050920120908,163,4,,509,736,13,13,2,1,54,RUSH,21,1
0736050920120908,164,4,,509,736,13,13,1,10,51,PENALTY,21,0
0736050920120908,165,4,,509,736,13,13,1,15,56,PASS,21,1
0736050920120908,166,4,,509,736,13,13,2,15,56,PASS,21,1
0736050920120908,167,4,,509,736,13,13,3,15,56,PASS,21,1
0736050920120908,168,4,,509,736,13,13,1,10,22,RUSH,21,1
0736050920120908,169,4,,509,736,13,13,1,10,11,RUSH,21,1
0736050920120908,170,4,139,509,736,13,13,2,6,7,TIMEOUT,,
0736050920120908,171,4,139,509,736,13,13,2,6,7,PASS,21,1
0736050920120908,172,4,,509,736,13,13,3,6,7,RUSH,21,1
0736050920120908,173,4,126,509,736,13,13,4,1,2,TIMEOUT,,
0736050920120908,174,4,126,509,736,13,13,4,1,2,FIELD_GOAL,21,1
0736050920120908,175,4,121,509,736,16,13,,,65,KICKOFF,,
0736050920120908,177,4,107,509,736,16,13,1,10,20,RUSH,23,1
0736050920120908,178,4,100,509,736,16,13,2,14,24,TIMEOUT,,
0736050920120908,179,4,100,509,736,16,13,2,14,24,RUSH,23,1
0736050920120908,180,4,93,509,736,16,13,3,19,29,TIMEOUT,,
0736050920120908,181,4,93,509,736,16,13,3,19,29,RUSH,23,1
0736050920120908,182,4,84,509,736,22,13,,,3,ATTEMPT,,
0736050920120908,183,4,84,509,736,23,13,,,65,KICKOFF,,
0736050920120908,188,4,63,509,736,23,13,1,10,19,RUSH,25,1
0736050920120908,189,4,,509,736,23,13,2,14,23,RUSH,25,1
0067050920120915,150,4,890,509,67,15,13,1,10,75,RUSH,15,1
0067050920120915,151,4,,509,67,15,13,2,5,70,RUSH,15,1
0067050920120915,152,4,,509,67,15,13,1,10,64,RUSH,15,1
0067050920120915,153,4,,509,67,15,13,1,10,53,RUSH,15,1
0067050920120915,154,4,,509,67,15,13,2,5,48,RUSH,15,1
0067050920120915,155,4,,509,67,15,13,1,10,38,PASS,15,1
0067050920120915,156,4,,509,67,15,13,1,19,47,RUSH,15,1
0067050920120915,157,4,,509,67,15,13,2,13,41,RUSH,15,1
0067050920120915,158,4,,509,67,15,13,3,8,36,PASS,15,1
0067050920120915,159,4,,509,67,15,13,4,3,31,RUSH,15,1
0067050920120915,160,4,,509,67,15,13,4,6,34,PUNT,,
0067050920120915,169,4,506,509,67,15,13,1,10,87,RUSH,17,1
0067050920120915,170,4,,509,67,15,13,2,9,86,RUSH,17,1
0067050920120915,171,4,,509,67,15,13,3,10,87,PASS,17,1
0067050920120915,172,4,,509,67,15,13,1,10,72,RUSH,17,1
0067050920120915,173,4,,509,67,15,13,1,10,60,RUSH,17,1
0067050920120915,174,4,,509,67,15,13,2,7,57,PASS,17,1
0067050920120915,175,4,,509,67,15,13,3,1,51,RUSH,17,1
0067050920120915,176,4,,509,67,15,13,1,10,50,RUSH,17,1
0067050920120915,177,4,,509,67,15,13,2,6,46,RUSH,17,1
0067050920120915,178,4,,509,67,15,13,1,10,36,RUSH,17,1
0067050920120915,179,4,262,509,67,15,13,2,10,36,TIMEOUT,,
0067050920120915,180,4,262,509,67,15,13,2,10,36,RUSH,17,1
0067050920120915,181,4,,509,67,15,13,3,7,33,RUSH,17,1
0067050920120915,182,4,,509,67,15,13,4,16,42,PUNT,,
0067050920120915,187,4,155,509,67,15,13,1,10,44,RUSH,19,1
0067050920120915,188,4,149,509,67,15,13,2,7,41,TIMEOUT,,
0067050920120915,189,4,149,509,67,15,13,2,7,41,RUSH,19,1
0067050920120915,190,4,,509,67,15,13,1,10,30,RUSH,19,1
