Period Number,Play Type
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,RUSH
