Period Number,Play Type
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
4,PASS
4,PASS
4,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
3,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
1,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
2,PASS
3,PASS
3,PASS
3,PASS
