group,Period Number,Play Type
PSU,1,KICKOFF
PSU,1,RUSH
PSU,1,RUSH
PSU,1,RUSH
PSU,1,PUNT
PSU,1,PASS
PSU,1,RUSH
PSU,1,PASS
PSU,1,PUNT
PSU,2,RUSH
PSU,2,PASS
PSU,2,PASS
PSU,2,PUNT
PSU,2,RUSH
PSU,2,RUSH
PSU,2,PASS
PSU,2,PUNT
PSU,2,PASS
PSU,2,RUSH
PSU,2,PASS
PSU,2,RUSH
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PUNT
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,ATTEMPT
PSU,2,KICKOFF
PSU,2,PASS
PSU,2,PASS
PSU,2,RUSH
PSU,2,PUNT
PSU,2,PASS
PSU,2,PASS
PSU,2,PENALTY
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,TIMEOUT
PSU,2,PASS
PSU,2,PASS
PSU,2,ATTEMPT
PSU,2,KICKOFF
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,PASS
PSU,3,PUNT
PSU,3,PASS
PSU,3,RUSH
PSU,3,PASS
PSU,3,PASS
PSU,3,PASS
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,PASS
PSU,3,PENALTY
PSU,3,RUSH
PSU,3,RUSH
PSU,3,ATTEMPT
PSU,3,KICKOFF
PSU,3,ATTEMPT
PSU,3,KICKOFF
PSU,4,RUSH
PSU,4,RUSH
PSU,4,PASS
PSU,4,PUNT
PSU,4,PASS
PSU,4,PASS
PSU,4,RUSH
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,TIMEOUT
PSU,4,PASS
UNL,1,RUSH
UNL,1,RUSH
UNL,1,PASS
UNL,1,PUNT
UNL,1,RUSH
UNL,1,RUSH
UNL,1,PASS
UNL,1,PUNT
UNL,1,PASS
UNL,1,PASS
UNL,1,RUSH
UNL,1,PUNT
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PUNT
UNL,1,RUSH
UNL,1,RUSH
UNL,1,PASS
UNL,1,ATTEMPT
UNL,1,KICKOFF
