group,Period Number,Play Type
PSU,1,PASS
PSU,1,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,2,PASS
PSU,3,PASS
PSU,3,PASS
PSU,3,PASS
PSU,3,PASS
PSU,3,PASS
PSU,3,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
PSU,4,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,1,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,2,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,3,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UNL,4,PASS
UM,1,PASS
UM,1,PASS
UM,2,PASS
UM,2,PASS
UM,2,PASS
UM,2,PASS
UM,2,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,3,PASS
UM,4,PASS
UM,4,PASS
UM,4,PASS
UM,4,PASS
UM,4,PASS
UM,4,PASS
