group,Period Number,Play Type
PSU,1,RUSH
PSU,1,RUSH
PSU,1,RUSH
PSU,1,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,2,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,3,RUSH
PSU,4,RUSH
PSU,4,RUSH
PSU,4,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,1,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,2,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,3,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UNL,4,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,1,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,2,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,3,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,4,RUSH
UM,5,RUSH
UM,5,RUSH
UM,5,RUSH
UM,5,RUSH
