Game Code,Play Number,Period Number,Clock,Offense Team Code,Defense Team Code,Offense Points,Defense Points,Down,Distance,Spot,Play Type,Drive Number,Drive Play
0509068820120901,2,1,,509,688,0,0,1,10,75,RUSH,1,1
0509068820120901,3,1,,509,688,0,0,2,10,75,PASS,1,1
0509068820120901,4,1,,509,688,0,0,1,10,54,RUSH,1,1
0509068820120901,5,1,,509,688,0,0,2,14,58,RUSH,1,1
0509068820120901,6,1,,509,688,0,0,3,15,59,PENALTY,1,0
0509068820120901,7,1,,509,688,0,0,3,20,64,PASS,1,1
0509068820120901,8,1,,509,688,0,0,4,20,64,RUSH,1,1
0509068820120901,15,1,647,509,688,0,3,1,10,94,RUSH,3,1
0509068820120901,16,1,,509,688,0,3,1,10,75,PASS,3,1
0509068820120901,17,1,,509,688,0,3,2,4,69,PASS,3,1
0509068820120901,18,1,,509,688,0,3,1,10,55,RUSH,3,1
0509068820120901,19,1,,509,688,0,3,2,10,55,RUSH,3,1
0509068820120901,20,1,,509,688,0,3,3,5,50,RUSH,3,1
0509068820120901,21,1,,509,688,0,3,1,10,43,RUSH,3,1
0509068820120901,22,1,,509,688,0,3,2,10,43,RUSH,3,1
0509068820120901,23,1,,509,688,0,3,3,17,50,PASS,3,1
0509068820120901,24,1,,509,688,0,3,4,22,55,PUNT,,
0509068820120901,35,1,237,509,688,0,6,1,10,75,PASS,5,1
0509068820120901,36,1,,509,688,0,6,2,10,75,RUSH,5,1
0509068820120901,37,1,,509,688,0,6,3,5,70,PASS,5,1
0509068820120901,38,1,,509,688,0,6,1,10,52,RUSH,5,1
0509068820120901,39,1,,509,688,0,6,2,8,50,PASS,5,1
0509068820120901,40,1,,509,688,0,6,3,8,50,RUSH,5,1
0509068820120901,41,1,,509,688,0,6,4,6,48,PUNT,,
0509068820120901,46,1,23,509,688,6,6,,,3,ATTEMPT,,
0509068820120901,47,1,23,509,688,7,6,1,65,65,TIMEOUT,,
0509068820120901,48,1,23,509,688,7,6,,,65,KICKOFF,,
0509068820120901,69,2,658,509,688,7,13,1,10,75,RUSH,8,1
0509068820120901,70,2,,509,688,7,13,2,3,68,RUSH,8,1
0509068820120901,71,2,,509,688,7,13,1,10,62,PENALTY,8,0
0509068820120901,72,2,,509,688,7,13,1,5,57,PASS,8,1
0509068820120901,73,2,,509,688,7,13,2,5,57,PASS,8,1
0509068820120901,74,2,,509,688,7,13,1,10,50,PASS,8,1
0509068820120901,75,2,,509,688,7,13,2,10,50,RUSH,8,1
0509068820120901,76,2,,509,688,7,13,3,3,43,RUSH,8,1
0509068820120901,77,2,490,509,688,7,13,4,2,42,TIMEOUT,,
0509068820120901,78,2,490,509,688,7,13,4,2,42,RUSH,8,1
0509068820120901,83,2,420,509,688,7,13,1,10,21,PASS,10,1
0509068820120901,84,2,413,509,688,13,13,,,3,ATTEMPT,,
0509068820120901,85,2,413,509,688,14,13,,,65,KICKOFF,,
0509068820120901,90,2,317,509,688,14,13,1,10,28,PASS,12,1
0509068820120901,91,2,,509,688,14,13,2,9,27,PASS,12,1
