Period Number,Play Type
1,KICKOFF
1,RUSH
1,RUSH
1,RUSH
1,PUNT
1,PASS
1,RUSH
1,PASS
1,PUNT
2,RUSH
2,PASS
2,PASS
2,PUNT
2,RUSH
2,RUSH
2,PASS
2,PUNT
2,PASS
2,RUSH
2,PASS
2,RUSH
2,PASS
2,PASS
2,PASS
2,PASS
2,PUNT
2,RUSH
2,RUSH
2,RUSH
2,ATTEMPT
2,KICKOFF
2,PASS
2,PASS
2,RUSH
2,PUNT
2,PASS
2,PASS
2,PENALTY
2,PASS
2,PASS
2,PASS
2,PASS
2,TIMEOUT
2,PASS
2,PASS
2,ATTEMPT
2,KICKOFF
3,RUSH
3,RUSH
3,RUSH
3,PASS
3,PUNT
3,PASS
3,RUSH
3,PASS
3,PASS
3,PASS
3,RUSH
3,RUSH
3,RUSH
3,PASS
3,PENALTY
3,RUSH
3,RUSH
3,ATTEMPT
3,KICKOFF
3,ATTEMPT
3,KICKOFF
4,RUSH
4,RUSH
4,PASS
4,PUNT
4,PASS
4,PASS
4,RUSH
4,PASS
4,PASS
4,PASS
4,PASS
4,PASS
4,TIMEOUT
4,PASS
