Period Number,Play Type
1,KICKOFF
1,RUSH
1,RUSH
1,PASS
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,RUSH
1,ATTEMPT
1,KICKOFF
1,RUSH
1,RUSH
1,PASS
1,PUNT
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,PUNT
2,PASS
2,RUSH
2,PASS
2,TIMEOUT
2,PASS
2,PASS
2,PASS
2,ATTEMPT
2,TIMEOUT
2,KICKOFF
3,RUSH
3,RUSH
3,RUSH
3,PASS
3,PASS
3,RUSH
3,RUSH
3,RUSH
3,RUSH
3,PASS
3,ATTEMPT
3,KICKOFF
3,PASS
3,RUSH
3,PASS
3,RUSH
3,RUSH
3,RUSH
3,PASS
3,RUSH
3,RUSH
3,PASS
3,RUSH
3,RUSH
3,FIELD_GOAL
3,KICKOFF
3,RUSH
3,RUSH
3,PASS
4,RUSH
4,RUSH
4,PASS
4,RUSH
4,PASS
4,PUNT
4,RUSH
4,PASS
4,RUSH
4,PASS
4,RUSH
4,PENALTY
4,PASS
4,RUSH
4,PENALTY
4,PASS
4,ATTEMPT
4,KICKOFF
4,RUSH
4,TIMEOUT
4,RUSH
4,TIMEOUT
4,RUSH
4,TIMEOUT
4,TIMEOUT
4,RUSH
4,RUSH
4,RUSH
4,TIMEOUT
4,RUSH
4,PENALTY
4,PUNT
5,RUSH
5,RUSH
5,RUSH
5,TIMEOUT
5,TIMEOUT
5,RUSH
