Period Number,Play Type
1,RUSH
1,RUSH
1,PASS
1,PUNT
1,RUSH
1,RUSH
1,PASS
1,PUNT
1,PASS
1,PASS
1,RUSH
1,PUNT
1,PASS
1,PASS
1,PASS
1,PUNT
1,RUSH
1,RUSH
1,PASS
1,ATTEMPT
1,KICKOFF
2,RUSH
2,RUSH
2,PASS
2,PUNT
2,PASS
2,PENALTY
2,PASS
2,RUSH
2,PUNT
2,RUSH
2,PENALTY
2,PASS
2,RUSH
2,PUNT
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,RUSH
2,PASS
2,PUNT
2,PASS
2,PASS
2,RUSH
2,RUSH
2,PASS
2,PASS
2,RUSH
2,PASS
2,ATTEMPT
2,KICKOFF
3,KICKOFF
3,RUSH
3,PASS
3,PASS
3,RUSH
3,ATTEMPT
3,KICKOFF
3,RUSH
3,PASS
3,PENALTY
3,RUSH
3,RUSH
3,PENALTY
3,PASS
3,PUNT
3,RUSH
3,PASS
3,PASS
3,PUNT
3,RUSH
3,PASS
3,PASS
3,PUNT
4,RUSH
4,RUSH
4,PASS
4,PASS
4,PASS
4,TIMEOUT
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,RUSH
4,ATTEMPT
4,KICKOFF
4,RUSH
4,RUSH
4,PASS
4,PUNT
4,PASS
4,PASS
4,PASS
4,PASS
4,RUSH
4,PASS
4,FIELD_GOAL
4,PASS
4,PASS
